Vehicle_ID,Vehicle_Model,Manufacturer,Manufacturing_Year,Battery_Capacity,Battery_State_of_Health,Charging_Start_Time,Charging_End_Time,Charging_Duration,Charging_Station,Charging_Type,Temperature,Energy_Consumed,Distance_Travelled,Charging_Cost,Fleet_ID,Location,Charging_Status,Maintenance_Status,Driver_ID,Weather,Battery_Temperature,Distance_Travelled_km,Efficiency_kWh_100km,Degradation_Status
EV0035,BYD Atto 3,BYD,2023,60,97.0,2026-02-11 02:45:00,2026-02-11 03:57:00,1.2,Mysore Station 1,Normal,35,21.0,327.0,252,Eco Drive,Mysore,Completed,Good,D0035,Sunny,22.5,76.0,26.32,Healthy
EV0036,Tata Curvv EV,Tata,2023,55,96.3,2026-02-12 18:15:00,2026-02-12 18:58:00,0.72,Mangalore Station 2,Fast,37,32.0,174.0,384,Premium Fleet,Mangalore,Completed,Good,D0036,Sunny,22.5,76.0,26.32,Healthy
EV0037,Kia EV6,Kia,2023,77,94.4,2026-02-13 11:15:00,2026-02-13 12:46:00,1.52,Hubli Station 2,Normal,36,26.4,160.0,316.8,EV Fleet India,Hubli,Completed,Good,D0037,Rainy,22.5,76.0,26.32,Healthy
EV0038,Hyundai Kona EV,Hyundai,2023,39,98.1,2026-02-14 05:00:00,2026-02-14 05:28:00,0.47,Bangalore Station 2,Fast,33,25.8,212.0,309.60000000000002,City EV,Bangalore,Completed,Good,D0038,Rainy,22.5,76.0,26.32,Healthy
EV0039,Tata Punch EV,Tata,2023,35,94.1,2026-02-15 13:15:00,2026-02-15 14:30:00,1.25,Belagavi Station 1,Normal,29,20.3,132.0,243.6,Eco Drive,Belagavi,Completed,Good,D0039,Sunny,22.5,76.0,26.32,Healthy
EV0040,Tata Nexon EV,Tata,2023,40,95.9,2026-02-16 09:30:00,2026-02-16 10:45:00,1.25,Mangalore Station 1,Normal,37,23.3,166.0,279.60000000000002,Eco Drive,Mangalore,Completed,Good,D0040,Cloudy,22.5,76.0,26.32,Healthy
EV0041,Kia EV6,Kia,2023,77,97.8,2026-02-17 01:45:00,2026-02-17 02:52:00,1.12,Bangalore Station 2,Fast,39,49.8,149.0,597.6,EV Fleet India,Bangalore,Completed,Good,D0041,Cloudy,22.5,76.0,26.32,Healthy
EV0042,BYD Atto 3,BYD,2023,60,96.5,2026-02-18 03:30:00,2026-02-18 05:25:00,1.92,Bangalore Station 2,Normal,30,35.8,190.0,429.6,Green Mobility,Bangalore,Completed,Good,D0042,Rainy,22.5,76.0,26.32,Healthy
EV0043,Kia EV6,Kia,2023,77,94.2,2026-02-19 17:45:00,2026-02-19 19:30:00,1.75,Hubli Station 1,Normal,35,30.2,329.0,362.4,Premium Fleet,Hubli,Completed,Good,D0043,Cloudy,22.5,76.0,26.32,Healthy
EV0044,BYD Atto 3,BYD,2023,60,96.5,2026-02-20 09:30:00,2026-02-20 10:28:00,0.97,Belagavi Station 1,Fast,34,43.6,138.0,523.20000000000005,Eco Drive,Belagavi,Completed,Good,D0044,Rainy,22.5,76.0,26.32,Healthy
EV0045,BYD Atto 3,BYD,2023,60,98.0,2026-02-21 23:00:00,2026-02-21 23:36:00,0.6,Bangalore Station 2,Fast,30,29.6,161.0,355.2,Premium Fleet,Bangalore,Completed,Good,D0045,Cloudy,22.5,76.0,26.32,Healthy
EV0046,Hyundai Kona EV,Hyundai,2023,39,97.1,2026-02-22 22:00:00,2026-02-22 22:43:00,0.72,Bangalore Station 2,Normal,37,12.8,107.0,153.6,Green Mobility,Bangalore,Completed,Good,D0046,Sunny,22.5,76.0,26.32,Healthy
EV0047,Tata Nexon EV,Tata,2023,40,96.5,2026-02-23 15:45:00,2026-02-23 16:28:00,0.72,Mysore Station 1,Normal,30,12.1,241.0,145.19999999999999,City EV,Mysore,Completed,Good,D0047,Sunny,22.5,76.0,26.32,Healthy
EV0048,Tata Nexon EV,Tata,2023,40,96.9,2026-02-24 23:45:00,2026-02-25 00:20:00,0.58,Bangalore Station 2,Fast,32,22.6,126.0,271.2,EV Fleet India,Bangalore,Completed,Good,D0048,Rainy,22.5,76.0,26.32,Healthy
EV0049,BYD Atto 3,BYD,2023,60,95.1,2026-02-25 10:30:00,2026-02-25 11:07:00,0.62,Hubli Station 1,Fast,31,31.5,255.0,378,Green Mobility,Hubli,Completed,Good,D0049,Sunny,22.5,76.0,26.32,Healthy
EV0050,Mahindra XUV400,Mahindra,2023,39,95.5,2026-02-26 16:45:00,2026-02-26 17:09:00,0.4,Mysore Station 2,Fast,32,18.7,117.0,224.4,Eco Drive,Mysore,Completed,Good,D0050,Sunny,22.5,76.0,26.32,Healthy
EV0051,Tata Curvv EV,Tata,2023,55,94.2,2026-02-27 05:30:00,2026-02-27 06:03:00,0.55,Hubli Station 1,Fast,32,24.7,172.0,296.39999999999998,Eco Drive,Hubli,Completed,Good,D0051,Cloudy,22.5,76.0,26.32,Healthy
EV0052,Tata Nexon EV,Tata,2023,40,96.6,2026-02-28 08:00:00,2026-02-28 08:09:00,0.15,Belagavi Station 1,Fast,34,10.8,101.0,129.6,City EV,Belagavi,Completed,Good,D0052,Cloudy,22.5,76.0,26.32,Healthy
EV0053,BYD Seal,BYD,2023,82,99.4,2026-03-01 01:45:00,2026-03-01 02:24:00,0.65,Hubli Station 2,Fast,30,34.4,122.0,412.8,Green Mobility,Hubli,Completed,Good,D0053,Rainy,22.5,76.0,26.32,Healthy
EV0054,Tata Punch EV,Tata,2023,35,98.6,2026-03-02 22:30:00,2026-03-02 22:40:00,0.17,Mangalore Station 2,Fast,30,12.8,207.0,153.6,City EV,Mangalore,Completed,Good,D0054,Sunny,22.5,76.0,26.32,Healthy
EV0055,MG Comet EV,MG,2023,17,97.7,2026-03-03 20:15:00,2026-03-03 20:32:00,0.28,Mysore Station 1,Fast,33,13.9,246.0,166.8,Eco Drive,Mysore,Completed,Good,D0055,Sunny,22.5,76.0,26.32,Healthy
EV0056,Mahindra XUV400,Mahindra,2023,39,98.9,2026-03-04 03:30:00,2026-03-04 04:06:00,0.6,Mangalore Station 2,Fast,27,23.9,74.0,286.8,City EV,Mangalore,Completed,Good,D0056,Cloudy,22.5,76.0,26.32,Healthy
EV0057,BYD Seal,BYD,2023,82,99.6,2026-03-05 09:15:00,2026-03-05 09:59:00,0.73,Belagavi Station 1,Fast,29,39.1,315.0,469.2,EV Fleet India,Belagavi,Completed,Good,D0057,Rainy,22.5,76.0,26.32,Healthy
EV0058,Hyundai Kona EV,Hyundai,2023,39,96.0,2026-03-06 03:00:00,2026-03-06 03:19:00,0.32,Belagavi Station 2,Fast,36,16.7,209.0,200.4,Premium Fleet,Belagavi,Completed,Good,D0058,Rainy,22.5,76.0,26.32,Healthy
EV0059,Tata Punch EV,Tata,2023,35,98.9,2026-03-07 06:00:00,2026-03-07 06:31:00,0.52,Belagavi Station 2,Fast,35,22.3,288.0,267.60000000000002,Premium Fleet,Belagavi,Completed,Good,D0059,Cloudy,22.5,76.0,26.32,Healthy
EV0060,Tata Curvv EV,Tata,2023,55,96.1,2026-03-08 12:30:00,2026-03-08 12:49:00,0.32,Hubli Station 1,Fast,37,16.9,221.0,202.8,Eco Drive,Hubli,Completed,Good,D0060,Rainy,22.5,76.0,26.32,Healthy
EV0061,MG ZS EV,MG,2023,50,99.4,2026-03-09 07:15:00,2026-03-09 08:56:00,1.68,Belagavi Station 1,Normal,29,28.2,282.0,338.4,Eco Drive,Belagavi,Completed,Good,D0061,Cloudy,22.5,76.0,26.32,Healthy
EV0062,MG Comet EV,MG,2023,17,95.4,2026-03-10 05:45:00,2026-03-10 05:58:00,0.22,Mangalore Station 1,Fast,32,10.2,273.0,122.4,EV Fleet India,Mangalore,Completed,Good,D0062,Rainy,22.5,76.0,26.32,Healthy
EV0063,BYD Atto 3,BYD,2023,60,96.0,2026-03-11 11:45:00,2026-03-11 14:12:00,2.45,Belagavi Station 1,Normal,36,44.7,68.0,536.4,EV Fleet India,Belagavi,Completed,Good,D0063,Cloudy,22.5,76.0,26.32,Healthy
EV0064,BYD Seal,BYD,2023,82,94.9,2026-03-12 19:45:00,2026-03-12 20:55:00,1.17,Hubli Station 2,Fast,37,57.2,324.0,686.4,City EV,Hubli,Completed,Good,D0064,Cloudy,22.5,76.0,26.32,Healthy
EV0065,BYD Seal,BYD,2023,82,98.0,2026-03-13 12:15:00,2026-03-13 13:11:00,0.93,Belagavi Station 2,Fast,28,45.4,277.0,544.79999999999995,Eco Drive,Belagavi,Completed,Good,D0065,Cloudy,22.5,76.0,26.32,Healthy
EV0066,Tata Punch EV,Tata,2023,35,96.1,2026-03-14 03:00:00,2026-03-14 03:38:00,0.63,Belagavi Station 1,Fast,36,26.0,284.0,312,EV Fleet India,Belagavi,Completed,Good,D0066,Sunny,22.5,76.0,26.32,Healthy
EV0067,MG Comet EV,MG,2023,17,99.3,2026-03-15 17:30:00,2026-03-15 17:51:00,0.35,Belagavi Station 2,Normal,28,7.3,256.0,87.6,Green Mobility,Belagavi,Completed,Good,D0067,Cloudy,22.5,76.0,26.32,Healthy
EV0068,Tata Curvv EV,Tata,2023,55,96.5,2026-03-16 02:45:00,2026-03-16 03:35:00,0.83,Hubli Station 2,Fast,39,38.3,251.0,459.6,Premium Fleet,Hubli,Completed,Good,D0068,Cloudy,22.5,76.0,26.32,Healthy
EV0069,Tata Punch EV,Tata,2023,35,96.6,2026-03-17 17:00:00,2026-03-17 17:59:00,0.98,Mysore Station 1,Normal,38,17.8,111.0,213.6,EV Fleet India,Mysore,Completed,Good,D0069,Cloudy,22.5,76.0,26.32,Healthy
EV0070,MG ZS EV,MG,2023,50,96.9,2026-03-18 14:15:00,2026-03-18 14:55:00,0.67,Mangalore Station 2,Fast,30,32.4,146.0,388.8,EV Fleet India,Mangalore,Completed,Good,D0070,Cloudy,22.5,76.0,26.32,Healthy
EV0071,MG Comet EV,MG,2023,17,98.9,2026-03-19 12:00:00,2026-03-19 12:43:00,0.72,Hubli Station 2,Normal,34,14.0,258.0,168,Premium Fleet,Hubli,Completed,Good,D0071,Cloudy,22.5,76.0,26.32,Healthy
EV0072,Kia EV6,Kia,2023,77,94.9,2026-03-20 18:15:00,2026-03-20 19:48:00,1.55,Mysore Station 1,Normal,28,28.3,203.0,339.6,Premium Fleet,Mysore,Completed,Good,D0072,Sunny,22.5,76.0,26.32,Healthy
EV0073,MG Comet EV,MG,2023,17,96.3,2026-03-21 17:00:00,2026-03-21 17:11:00,0.18,Mangalore Station 1,Fast,27,9.1,146.0,109.2,Eco Drive,Mangalore,Completed,Good,D0073,Cloudy,22.5,76.0,26.32,Healthy
EV0074,MG Comet EV,MG,2023,17,97.3,2026-03-22 20:30:00,2026-03-22 20:55:00,0.42,Mangalore Station 2,Normal,38,7.9,86.0,94.8,Green Mobility,Mangalore,Completed,Good,D0074,Rainy,22.5,76.0,26.32,Healthy
EV0075,Tata Curvv EV,Tata,2023,55,98.7,2026-03-23 01:15:00,2026-03-23 01:51:00,0.6,Hubli Station 2,Fast,31,30.1,180.0,361.2,Premium Fleet,Hubli,Completed,Good,D0075,Cloudy,22.5,76.0,26.32,Healthy
EV0076,BYD Seal,BYD,2023,82,96.9,2026-03-24 19:15:00,2026-03-24 21:35:00,2.33,Belagavi Station 1,Normal,32,42.9,220.0,514.79999999999995,Green Mobility,Belagavi,Completed,Good,D0076,Rainy,22.5,76.0,26.32,Healthy
EV0077,MG Comet EV,MG,2023,17,94.1,2026-03-25 14:00:00,2026-03-25 14:09:00,0.15,Mangalore Station 2,Fast,29,10.9,120.0,130.80000000000001,Green Mobility,Mangalore,Completed,Good,D0077,Cloudy,22.5,76.0,26.32,Healthy
EV0078,BYD Seal,BYD,2023,82,97.4,2026-03-26 15:45:00,2026-03-26 18:50:00,3.08,Bangalore Station 1,Normal,32,57.0,154.0,684,Green Mobility,Bangalore,Completed,Good,D0078,Cloudy,22.5,76.0,26.32,Healthy
EV0079,Tata Punch EV,Tata,2023,35,94.2,2026-03-27 06:45:00,2026-03-27 06:56:00,0.18,Belagavi Station 2,Fast,37,14.0,172.0,168,Green Mobility,Belagavi,Completed,Good,D0079,Sunny,22.5,76.0,26.32,Healthy
EV0080,Mahindra XUV400,Mahindra,2023,39,97.2,2026-03-28 09:30:00,2026-03-28 10:43:00,1.22,Hubli Station 2,Normal,33,21.4,137.0,256.8,City EV,Hubli,Completed,Good,D0080,Rainy,22.5,76.0,26.32,Healthy
EV0081,BYD Atto 3,BYD,2023,60,99.0,2026-03-29 15:30:00,2026-03-29 15:42:00,0.2,Hubli Station 2,Fast,27,12.7,92.0,152.4,City EV,Hubli,Completed,Good,D0081,Cloudy,22.5,76.0,26.32,Healthy
EV0082,Tata Nexon EV,Tata,2023,40,98.9,2026-03-30 22:30:00,2026-03-30 23:20:00,0.83,Belagavi Station 1,Normal,37,15.3,234.0,183.6,City EV,Belagavi,Completed,Good,D0082,Rainy,22.5,76.0,26.32,Healthy
EV0083,MG ZS EV,MG,2023,50,94.1,2026-03-31 15:30:00,2026-03-31 16:41:00,1.18,Belagavi Station 1,Normal,33,21.7,203.0,260.39999999999998,City EV,Belagavi,Completed,Good,D0083,Rainy,22.5,76.0,26.32,Healthy
EV0084,MG Comet EV,MG,2023,17,99.5,2026-04-01 06:15:00,2026-04-01 06:34:00,0.32,Mangalore Station 1,Fast,34,11.7,175.0,140.4,City EV,Mangalore,Completed,Good,D0084,Cloudy,22.5,76.0,26.32,Healthy
EV0085,Mahindra XUV400,Mahindra,2023,39,97.2,2026-04-02 15:00:00,2026-04-02 15:38:00,0.63,Bangalore Station 2,Normal,37,13.0,223.0,156,City EV,Bangalore,Completed,Good,D0085,Sunny,22.5,76.0,26.32,Healthy
EV0086,BYD Atto 3,BYD,2023,60,94.2,2026-04-03 19:15:00,2026-04-03 20:55:00,1.67,Mangalore Station 1,Normal,32,30.3,95.0,363.6,Green Mobility,Mangalore,Completed,Good,D0086,Rainy,22.5,76.0,26.32,Healthy
EV0087,Kia EV6,Kia,2023,77,95.6,2026-04-04 16:15:00,2026-04-04 18:07:00,1.87,Belagavi Station 1,Normal,28,32.0,158.0,384,Eco Drive,Belagavi,Completed,Good,D0087,Sunny,22.5,76.0,26.32,Healthy
EV0088,Kia EV6,Kia,2023,77,93.9,2026-04-05 20:30:00,2026-04-05 22:45:00,2.25,Hubli Station 2,Normal,32,40.7,305.0,488.4,EV Fleet India,Hubli,Completed,Good,D0088,Rainy,22.5,76.0,26.32,Healthy
EV0089,BYD Seal,BYD,2023,82,97.2,2026-04-06 04:15:00,2026-04-06 05:33:00,1.3,Belagavi Station 1,Fast,35,68.6,332.0,823.2,Eco Drive,Belagavi,Completed,Good,D0089,Sunny,22.5,76.0,26.32,Healthy
EV0090,Mahindra XUV400,Mahindra,2023,39,98.5,2026-04-07 10:45:00,2026-04-07 11:12:00,0.45,Hubli Station 1,Fast,34,18.1,187.0,217.2,City EV,Hubli,Completed,Good,D0090,Sunny,22.5,76.0,26.32,Healthy
EV0091,Hyundai Kona EV,Hyundai,2023,39,94.5,2026-04-08 08:45:00,2026-04-08 09:03:00,0.3,Hubli Station 1,Fast,33,11.6,292.0,139.19999999999999,EV Fleet India,Hubli,Completed,Good,D0091,Sunny,22.5,76.0,26.32,Healthy
EV0092,Kia EV6,Kia,2023,77,99.3,2026-04-09 07:30:00,2026-04-09 08:15:00,0.75,Hubli Station 1,Fast,35,34.6,116.0,415.2,EV Fleet India,Hubli,Completed,Good,D0092,Cloudy,22.5,76.0,26.32,Healthy
EV0093,BYD Seal,BYD,2023,82,95.1,2026-04-10 04:30:00,2026-04-10 05:34:00,1.07,Mangalore Station 2,Fast,27,55.3,70.0,663.6,Premium Fleet,Mangalore,Completed,Good,D0093,Cloudy,22.5,76.0,26.32,Healthy
EV0094,Kia EV6,Kia,2023,77,95.8,2026-04-11 20:15:00,2026-04-11 23:02:00,2.78,Mangalore Station 1,Normal,27,47.7,309.0,572.4,Green Mobility,Mangalore,Completed,Good,D0094,Rainy,22.5,76.0,26.32,Healthy
EV0095,Hyundai Kona EV,Hyundai,2023,39,98.2,2026-04-12 05:45:00,2026-04-12 07:14:00,1.48,Mangalore Station 1,Normal,36,24.5,311.0,294,Eco Drive,Mangalore,Completed,Good,D0095,Sunny,22.5,76.0,26.32,Healthy
EV0096,MG ZS EV,MG,2023,50,99.0,2026-04-13 19:45:00,2026-04-13 20:13:00,0.47,Bangalore Station 2,Fast,30,25.2,188.0,302.39999999999998,Premium Fleet,Bangalore,Completed,Good,D0096,Sunny,22.5,76.0,26.32,Healthy
EV0097,Mahindra XUV400,Mahindra,2023,39,95.3,2026-04-14 08:00:00,2026-04-14 09:08:00,1.13,Bangalore Station 2,Normal,38,21.1,306.0,253.2,Premium Fleet,Bangalore,Completed,Good,D0097,Cloudy,22.5,76.0,26.32,Healthy
EV0098,BYD Atto 3,BYD,2023,60,99.4,2026-04-15 05:45:00,2026-04-15 07:28:00,1.72,Mysore Station 2,Normal,37,28.6,309.0,343.2,City EV,Mysore,Completed,Good,D0098,Cloudy,22.5,76.0,26.32,Healthy
EV0099,Tata Curvv EV,Tata,2023,55,96.8,2026-04-16 08:45:00,2026-04-16 09:04:00,0.32,Belagavi Station 2,Fast,37,19.5,339.0,234,Green Mobility,Belagavi,Completed,Good,D0099,Cloudy,22.5,76.0,26.32,Healthy
EV0100,MG ZS EV,MG,2023,50,96.8,2026-04-17 04:45:00,2026-04-17 06:15:00,1.5,Bangalore Station 1,Normal,28,26.3,76.0,315.60000000000002,City EV,Bangalore,Completed,Good,D0100,Cloudy,22.5,76.0,26.32,Healthy
EV0101,Tata Nexon EV,Tata,2023,40,99.5,2026-04-18 20:00:00,2026-04-18 20:27:00,0.45,Hubli Station 1,Fast,32,17.7,264.0,212.4,Premium Fleet,Hubli,Completed,Good,D0101,Sunny,22.5,76.0,26.32,Healthy
EV0102,Tata Curvv EV,Tata,2023,55,93.9,2026-04-19 17:45:00,2026-04-19 18:18:00,0.55,Mangalore Station 1,Fast,32,21.1,251.0,253.2,City EV,Mangalore,Completed,Good,D0102,Sunny,22.5,76.0,26.32,Healthy
EV0103,Mahindra XUV400,Mahindra,2023,39,95.3,2026-04-20 06:15:00,2026-04-20 06:49:00,0.57,Mangalore Station 1,Normal,34,8.9,119.0,106.8,Eco Drive,Mangalore,Completed,Good,D0103,Sunny,22.5,76.0,26.32,Healthy
